index,active_qubit_count_per_index,avg_toffoli_gates_per_run_in_bin,phase_name
4630098,512,0.000000,tlm_coord_add3x
4630530,512,0.000000,tlm_coord_add3x
4630962,512,0.000000,tlm_coord_add3x
4631394,512,0.000000,tlm_coord_add3x
4631826,512,0.000000,tlm_coord_add3x
4632258,512,0.000000,tlm_coord_add3x
4632690,512,0.000000,tlm_coord_add3x
4633122,512,0.000000,tlm_coord_add3x
4633554,512,0.000000,tlm_coord_add3x
4633986,512,0.000000,tlm_coord_add3x
4634418,512,0.000000,tlm_coord_add3x
4634850,512,0.000000,tlm_coord_add3x
4635281,512,0.000000,tlm_coord_add3x
4635713,512,0.000000,tlm_coord_add3x
4636145,512,0.000000,tlm_coord_add3x
4636577,512,0.000000,tlm_coord_add3x
4637009,512,0.000000,tlm_coord_add3x
4637441,512,0.000000,tlm_coord_add3x
4637873,512,0.000000,tlm_coord_add3x
4638305,512,0.000000,tlm_coord_add3x
4638737,512,0.000000,tlm_coord_add3x
4639169,512,0.000000,tlm_coord_add3x
4639601,512,0.000000,tlm_coord_add3x
4640033,512,0.000000,tlm_coord_add3x
4640465,512,0.000000,tlm_coord_add3x
4640897,768,0.000000,tlm_coord_add3x
4641328,770,0.000000,tlm_coord_add3x
4641760,770,88.000000,tlm_coord_add3x
4642192,966,168.000000,tlm_coord_add3x
4642624,982,0.000000,tlm_coord_add3x
4643056,920,0.000000,tlm_coord_add3x
4643488,858,0.000000,tlm_coord_add3x
4643920,796,0.000000,tlm_coord_add3x
4644352,770,0.000000,tlm_coord_add3x
4644784,819,52.478723,tlm_coord_add3x
4645216,779,9.672651,tlm_coord_add3x
4645648,768,0.000000,tlm_coord_add3x
4646080,768,0.000000,tlm_coord_add3x
4646512,512,0.000000,tlm_coord_add3x
4647935,901,383.000000,tlm_square
4650351,901,253.000000,tlm_square
4652766,901,249.000000,tlm_square
4655182,901,168.000000,tlm_square
4657597,901,198.000000,tlm_square
4660013,901,239.000000,tlm_square
4662428,901,235.000000,tlm_square
4664844,901,231.000000,tlm_square
4667259,901,227.000000,tlm_square
4669675,901,222.000000,tlm_square
4672090,901,214.000000,tlm_square
4674505,901,220.000000,tlm_square
4676921,901,212.000000,tlm_square
4679336,901,207.000000,tlm_square
4681752,901,203.000000,tlm_square
4684167,901,199.000000,tlm_square
4686583,901,216.000000,tlm_square
4688998,901,264.000000,tlm_square
4691414,901,185.000000,tlm_square
4693829,901,211.000000,tlm_square
4696245,901,234.000000,tlm_square
4698660,901,204.000000,tlm_square
4701075,901,216.000000,tlm_square
4703491,901,240.000000,tlm_square
4705906,901,214.000000,tlm_square
4708322,901,205.000000,tlm_square
4710737,901,221.000000,tlm_square
4713153,901,230.000000,tlm_square
4715568,901,195.000000,tlm_square
4717984,901,223.000000,tlm_square
4720399,901,197.000000,tlm_square
4722814,901,218.000000,tlm_square
4725230,901,231.000000,tlm_square
4727645,901,201.000000,tlm_square
4730061,901,228.000000,tlm_square
4732476,901,220.000000,tlm_square
4734892,901,198.000000,tlm_square
4737307,901,212.000000,tlm_square
4739723,1029,438.000000,tlm_square
4742138,1029,596.000000,tlm_square
4744554,1132,209.000000,tlm_square
4746969,1028,61.997340,tlm_square
4749384,1050,177.526707,tlm_square
4751800,1023,170.000000,tlm_square
4754215,1022,3.502770,tlm_square
4756631,1081,173.462101,tlm_square
4759046,1017,166.000000,tlm_square
4761462,1065,3.503214,tlm_square
4763877,1068,149.000000,tlm_square
4766293,901,481.502105,tlm_square
4768708,1029,547.000000,tlm_square
4771124,901,195.000000,tlm_square
4773539,901,211.000000,tlm_square
4775954,901,224.000000,tlm_square
4778370,901,226.000000,tlm_square
4780785,901,217.000000,tlm_square
4783201,901,202.000000,tlm_square
4785616,901,210.000000,tlm_square
4788032,901,226.000000,tlm_square
4790447,901,242.000000,tlm_square
4792863,901,192.000000,tlm_square
4795278,901,205.000000,tlm_square
4797693,901,230.000000,tlm_square
4800109,901,213.000000,tlm_square
4802524,901,210.000000,tlm_square
4804940,901,237.000000,tlm_square
4807355,901,246.000000,tlm_square
4809771,901,169.000000,tlm_square
4812186,901,261.000000,tlm_square
4814602,901,179.000000,tlm_square
4817017,901,255.000000,tlm_square
4819433,901,210.000000,tlm_square
4821848,901,193.000000,tlm_square
4824263,901,217.000000,tlm_square
4826679,901,247.000000,tlm_square
4829094,901,241.000000,tlm_square
4831510,901,213.000000,tlm_square
4833925,901,215.000000,tlm_square
4836341,901,219.000000,tlm_square
4838756,901,223.000000,tlm_square
4841172,901,227.000000,tlm_square
4843587,901,200.000000,tlm_square
4846003,901,191.000000,tlm_square
4848418,901,194.000000,tlm_square
4850833,901,241.000000,tlm_square
4853249,901,245.000000,tlm_square
4855664,901,238.000000,tlm_square
4858080,901,160.000000,tlm_square
4860495,901,232.000000,tlm_square
4862911,899,237.000000,tlm_square
4865326,899,161.000000,tlm_square
4867742,899,227.000000,tlm_square
4870157,899,243.000000,tlm_square
4872572,899,239.000000,tlm_square
4874988,899,212.000000,tlm_square
4877403,899,192.000000,tlm_square
4879819,899,200.000000,tlm_square
4882234,899,207.000000,tlm_square
4884650,899,215.000000,tlm_square
4887065,899,219.000000,tlm_square
4889481,899,227.000000,tlm_square
4891896,899,235.000000,tlm_square
4894312,899,242.000000,tlm_square
4896727,899,221.000000,tlm_square
4899142,899,195.000000,tlm_square
4901558,899,191.000000,tlm_square
4903973,899,265.000000,tlm_square
4906389,899,195.000000,tlm_square
